Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
516,13418,Anthony Sherman,KC,null,33,FB,RB139,null,null,null,null,null,470
517,16989,Marcus Murphy,NYJ,null,30,RB,RB140,null,null,null,null,null,471
518,16954,Nick O'Leary,BUF,null,29,TE,TE63,null,null,null,null,null,472
519,11047,Colt McCoy,WAS,12,35,QB,QB59,null,null,null,null,null,473
520,18468,Joshua Perkins,ATL,null,28,TE,TE64,null,null,null,null,null,474
521,16853,Jeff Heuerman,DEN,null,29,TE,TE65,null,null,null,null,null,475
522,5054,Kellen Clemens,LAC,null,38,QB,QB60,null,null,null,null,null,476
523,15247,Darren Fells,DET,null,36,TE,TE66,null,null,null,null,null,477
524,5511,Brent Celek,PHI,null,37,TE,TE67,null,null,null,null,null,478
525,19010,Michael Roberts,DET,null,27,TE,TE68,null,null,null,null,null,479
526,14895,Geno Smith,NYG,9,31,QB,QB61,null,null,null,null,null,480
527,14152,James Hanna,DAL,null,32,TE,TE69,null,null,null,null,null,481
528,12771,Ryan Mallett,BAL,null,33,QB,QB62,null,null,null,null,null,482
529,16829,Clive Walford,LV,null,30,TE,TE70,null,null,null,null,null,483
530,18101,Jerell Adams,NYG,null,29,TE,TE71,null,null,null,null,null,484
531,18019,Nick Vannett,SEA,6,29,TE,TE72,null,null,null,null,null,485
532,17067,Bronson Hill,MIN,null,29,RB,RB141,null,null,null,null,null,486
533,12777,Lee Smith,LV,null,34,TE,TE73,557,557,557,557,557,487
534,18445,Mike Thomas,LAR,10,27,WR,WR192,null,null,null,null,null,488
535,12153,Ed Dickson,CAR,null,34,TE,TE74,null,null,null,null,null,489
536,16846,Tyler Kroft,CIN,null,29,TE,TE75,362,362,362,362,362,490
537,4633,Matt Schaub,ATL,null,40,QB,QB63,null,null,null,null,null,491
538,17223,Eric Tomlinson,NYJ,11,30,TE,TE76,null,null,null,null,null,492
539,8283,Ryan Fitzpatrick,TB,null,39,QB,QB64,157.1,157.1,157.1,157.1,157.1,493
540,13386,Lance Kendricks,GB,null,34,TE,TE77,null,null,null,null,null,494
541,13063,Taiwan Jones,BUF,7,33,RB,RB142,null,null,null,null,null,495
542,16534,Roosevelt Nix,PIT,null,30,FB,RB143,null,null,null,null,null,496
543,16958,Randall Telfer,CLE,null,29,TE,TE78,null,null,null,null,null,497
544,16917,C.J. Uzomah,CIN,6,29,TE,TE79,null,null,null,null,null,498
545,19035,Eric Saubert,ATL,null,28,TE,TE80,530,530,530,530,530,499
546,19096,Sam Rogers,LAR,null,27,FB,RB144,null,null,null,null,null,500
547,17971,Cardale Jones,LAC,null,29,QB,QB65,null,null,null,null,null,501
548,16491,Richard Rodgers,GB,14,30,TE,TE81,null,null,null,null,null,502
549,15561,Brandon Williams,IND,null,34,TE,TE82,null,null,null,null,null,503
550,9902,Chase Daniel,NO,7,35,QB,QB66,null,null,null,null,null,504
551,15640,Derek Carrier,LAR,null,31,TE,TE83,523,523,523,523,523,505
